Stock,First Date,Last Date,stock_type,trade_days,market_return,stock_return,relative_return,diff_return,buy&hold return,relative_B&H_return,Highest_return
KR7005930003,2014-09-23,2023-05-12,kospi,3153.0,61.7506312898829,202.0016366475,227.12481221320817,25.12317556570818,122.75614809483999,98.79334920249165,"('relative', 227.12481221320817)"
KR7000250001,2016-07-22,2023-05-12,kosdaq,2485.0,82.22951637374798,706.65711742278,759.3716083783053,52.71449095552532,565.672577464618,587.9191346493321,"('relative', 759.3716083783053)"
KR7036570000,2016-06-29,2023-05-12,kospi,2508.0,57.97918696500774,109.1239365888,88.21225736514678,-20.911679223653223,68.08569824409,17.431274579931333,"('relative', 88.21225736514678)"
KR7051910008,2016-09-22,2023-05-12,kospi,2423.0,49.87113009725911,492.1177067527,886.7787350977766,394.6610283450766,207.05504768688,315.1801799619929,"('relative', 886.7787350977766)"
KR7066700006,2017-08-22,2023-05-12,kosdaq,2089.0,79.38858327768668,369.80983254853,365.8224360233299,-3.987396525200097,7.5839502559624,-90.44705177640576,"('relative', 365.8224360233299)"
KR7066970005,2017-03-22,2023-05-12,kosdaq,2242.0,99.55094601054364,1659.3936090811649,1566.8787948086554,-92.51481427250953,2223.95134045848,2133.9831308312596,"('buy&hold', 2133.9831308312596)"
KR7068760008,2018-03-06,2023-05-12,kosdaq,1893.0,42.22534950448588,491.24316413128,1063.3844832452885,572.1413191140084,9.794645421924,-76.80387365205004,"('relative', 1063.3844832452885)"
KR7078600004,2017-10-27,2023-05-12,kosdaq,2023.0,64.30366677626643,687.394044160795,968.9810995576112,281.58705539681614,1018.1269480154906,1483.3108733252934,"('buy&hold', 1483.3108733252934)"
KR7096770003,2018-08-13,2023-05-12,kospi,1733.0,30.28926520767524,76.36453534067999,152.11749052707088,75.75295518639089,-7.988469936216,-126.3739310988361,"('relative', 152.11749052707088)"
KR7128940004,2019-07-16,2023-05-12,kospi,1396.0,40.51803900640148,195.83509680695,383.3281708821344,187.4930740751844,9.26578656,-77.13170038032666,"('relative', 383.3281708821344)"
KR7185750007,2020-07-20,2023-05-12,kospi,1026.0,31.6531888159023,76.33199161432,141.15103239131295,64.81904077699295,-21.210731259842,-167.0097770660816,"('relative', 141.15103239131295)"
KR7192080000,2021-02-16,2023-05-12,kospi,815.0,-10.285308523758925,27.56890817133,-368.0416256609726,-395.6105338323026,-25.231602849462497,145.31692745217933,"('buy&hold', 145.31692745217933)"
KR7207940008,2021-06-04,2023-05-12,kospi,707.0,-13.538811665279162,44.4338056,-428.1957582285624,-472.6295638285624,0.014846259999999998,-100.10965703908914,"('buy&hold', -100.10965703908914)"
KR7225570001,2021-02-03,2023-05-12,kosdaq,828.0,0.5107211254269076,494.19162753402,96663.49830270468,96169.30667517064,197.27037911347202,38525.85064374914,"('relative', 96663.49830270468)"
KR7247540008,2022-02-10,2023-05-12,kosdaq,456.0,0.1190966349397103,609.3717405465,511561.59384350287,510952.2221029564,204.20924176902,171365.165134511,"('relative', 511561.59384350287)"
KR7251270005,2021-07-27,2023-05-12,kospi,654.0,-13.816329812064392,5.94497396583,-143.0286048950486,-148.9735788608786,-57.97735616903999,319.6292138192465,"('buy&hold', 319.6292138192465)"
KR7263750002,2021-09-02,2023-05-12,kosdaq,617.0,-11.19128258980365,42.3710476967,-478.6076113858849,-520.978659082585,-52.524821148,369.33692118412984,"('buy&hold', 369.33692118412984)"
KR7293490009,2022-07-27,2023-05-12,kosdaq,289.0,9.562889615243256,28.70297682586,200.14961983988,171.44664301402,-16.9737283865115,-277.49581004736643,"('relative', 200.14961983988)"
KR7373220003,2022-12-23,2023-05-12,kospi,140.0,7.110312375931997,34.749,388.7127057542984,353.9637057542984,19.91223,180.04718987314493,"('relative', 388.7127057542984)"
