Stock,First Date,Last Date,stock_type,trade_days,market_return,stock_return,relative_return,diff_return,buy&hold return,relative_B&H_return,Highest_return
KR7005930003,2014-09-22,2023-05-12,kospi,3154.0,60.9315977965498,130.1023944554,113.52204629494706,-16.580348160452942,118.37272598643,94.27149503230777,"('relative', 113.52204629494706)"
KR7000250001,2016-07-21,2023-05-12,kosdaq,2486.0,82.11410245156834,266.08353378809,224.04121319480845,-42.042320593281545,555.890598245664,576.9733598117734,"('buy&hold', 576.9733598117734)"
KR7036570000,2016-06-28,2023-05-12,kospi,2509.0,59.590739168821074,162.36740105430002,172.4708626189579,10.103461564657891,69.58581606735001,16.772869472574918,"('relative', 172.4708626189579)"
KR7051910008,2016-09-21,2023-05-12,kospi,2424.0,50.94668806369288,225.72078922780003,343.0529202322374,117.33213100443736,204.05219249384,300.52101569141576,"('relative', 343.0529202322374)"
KR7066700006,2017-08-21,2023-05-12,kosdaq,2090.0,80.5405894627065,14.639336948843,-81.8236530841116,-96.4629900329546,7.5839502559624,-90.58369164348608,"('relative', -81.8236530841116)"
KR7066970005,2017-03-21,2023-05-12,kosdaq,2243.0,98.7782455056132,964.40158204664,876.32993693114,-88.07164511550002,2171.674045221912,2098.534742245957,"('buy&hold', 2098.534742245957)"
KR7068760008,2018-03-05,2023-05-12,kosdaq,1894.0,44.60644903245559,684.2187386994001,1433.900934821249,749.6821961218488,12.212019813853,-72.62274832733817,"('relative', 1433.900934821249)"
KR7078600004,2017-10-26,2023-05-12,kosdaq,2024.0,66.61458716700493,557.8571944944499,737.4399935796102,179.58279908516033,990.95541804332,1387.595225290465,"('buy&hold', 1387.595225290465)"
KR7096770003,2018-08-10,2023-05-12,kospi,1736.0,28.348237987031084,114.98740142348,305.62450998219043,190.63710855871045,-7.756658767268,-127.36204899513177,"('relative', 305.62450998219043)"
KR7128940004,2019-07-15,2023-05-12,kospi,1397.0,41.10411589779996,51.248778871,24.68040669801396,-26.56837217298604,9.81491348544,-76.1218231530791,"('relative', 24.68040669801396)"
KR7185750007,2020-07-20,2023-05-12,kospi,1026.0,31.6531888159023,29.46465472252,-6.914103050125554,-36.37875777264556,-21.210731259842,-167.0097770660816,"('relative', -6.914103050125554)"
KR7192080000,2021-02-15,2023-05-12,kospi,816.0,-9.808343065115317,2.62038773022,-126.7159061711428,-129.33629390136278,-25.1112842215495,156.01963608778263,"('buy&hold', 156.01963608778263)"
KR7207940008,2021-06-03,2023-05-12,kospi,708.0,-13.719480614560606,0.0,-100.0,-100.0,1.9524892200000001,-114.2315097404475,"('relative', -100.0)"
KR7225570001,2021-02-02,2023-05-12,kosdaq,829.0,1.362300147342386,92.842325629785,6715.115289453976,6622.272963824192,197.27037911347202,14380.683973962177,"('buy&hold', 14380.683973962177)"
KR7247540008,2022-02-09,2023-05-12,kosdaq,457.0,-1.4973876387285328,25.711973337600003,-1817.1220512700809,-1842.8340246076807,192.140050443666,-12931.684025842278,"('relative', -1817.1220512700809)"
KR7251270005,2021-07-26,2023-05-12,kospi,655.0,-13.628087677964038,0.0,-100.0,-100.0,-58.427580612515996,328.7291217460435,"('buy&hold', 328.7291217460435)"
KR7263750002,2021-09-01,2023-05-12,kosdaq,618.0,-11.101232890018004,0.0,-100.0,-100.0,-53.60206603416,382.847865324561,"('buy&hold', 382.847865324561)"
KR7293490009,2022-07-26,2023-05-12,kosdaq,290.0,10.333971381044943,0.0,-100.0,-100.0,-18.209681082793498,-276.2118396824144,"('relative', -100.0)"
KR7373220003,2022-12-22,2023-05-12,kospi,141.0,5.155042408883954,1.9656,-61.87034278102972,-63.83594278102972,15.900300000000001,208.44169143202745,"('buy&hold', 208.44169143202745)"
